ndb_patch,ndb_ufes_patch_label,ndb_ufes_patch_label_status,sab_patch_label,sab_patch_label_status,patch_label_agreement_status,current_reconstructed_patch_label,current_metadata_vs_complete_patch_label_status,final_validated_wsi_id,public_wsi_pseudonym,previous_reconstructed_ndb_origin_id,previous_public_ndb_wsi_match,pixel_containment_status,x,y,width,height,linkage_evidence_level,reviewer_status,notes,origin_audit_id,sab_origin_folder,sab_origin_folder_label_normalized,current_origin_label_from_patch_csv,current_origin_label_from_sab_origin_exact_match,ndb_ufes_patch_label_source,sab_patch_label_source,dataset_use_status,patch_vs_origin_plausibility_status,coordinate_status,sab_origin_width,sab_origin_height
p0000,oscc,available,oscc,available,agrees,with_dysplasia,disagrees,sab_only_wsi_0009,sab_only_wsi_0009,41.0,,exact_pixel_match,1,902,512,512,validated_exact_with_metadata_conflict,expert_metadata_review_recommended,"Patch-to-WSI linkage is exact, but label or metadata sources disagree. Current reconstructed metadata label differs from the complete parsed patch label CSV.",origin_audit_0009,benigno,without_dysplasia,with_dysplasia,,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_disagreement,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0001,oscc,available,oscc,available,agrees,with_dysplasia,disagrees,sab_only_wsi_0009,sab_only_wsi_0009,41.0,,exact_pixel_match,637,624,512,512,validated_exact_with_metadata_conflict,expert_metadata_review_recommended,"Patch-to-WSI linkage is exact, but label or metadata sources disagree. Current reconstructed metadata label differs from the complete parsed patch label CSV.",origin_audit_0009,benigno,without_dysplasia,with_dysplasia,,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_disagreement,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0002,oscc,available,oscc,available,agrees,with_dysplasia,disagrees,sab_only_wsi_0009,sab_only_wsi_0009,41.0,,exact_pixel_match,536,551,512,512,validated_exact_with_metadata_conflict,expert_metadata_review_recommended,"Patch-to-WSI linkage is exact, but label or metadata sources disagree. Current reconstructed metadata label differs from the complete parsed patch label CSV.",origin_audit_0009,benigno,without_dysplasia,with_dysplasia,,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_disagreement,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0003,oscc,available,oscc,available,agrees,with_dysplasia,disagrees,sab_only_wsi_0009,sab_only_wsi_0009,41.0,,exact_pixel_match,1488,605,512,512,validated_exact_with_metadata_conflict,expert_metadata_review_recommended,"Patch-to-WSI linkage is exact, but label or metadata sources disagree. Current reconstructed metadata label differs from the complete parsed patch label CSV.",origin_audit_0009,benigno,without_dysplasia,with_dysplasia,,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_disagreement,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0004,oscc,available,oscc,available,agrees,with_dysplasia,disagrees,sab_only_wsi_0009,sab_only_wsi_0009,41.0,,exact_pixel_match,1219,450,512,512,validated_exact_with_metadata_conflict,expert_metadata_review_recommended,"Patch-to-WSI linkage is exact, but label or metadata sources disagree. Current reconstructed metadata label differs from the complete parsed patch label CSV.",origin_audit_0009,benigno,without_dysplasia,with_dysplasia,,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_disagreement,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0005,oscc,available,oscc,available,agrees,with_dysplasia,disagrees,sab_only_wsi_0009,sab_only_wsi_0009,41.0,,exact_pixel_match,579,669,512,512,validated_exact_with_metadata_conflict,expert_metadata_review_recommended,"Patch-to-WSI linkage is exact, but label or metadata sources disagree. Current reconstructed metadata label differs from the complete parsed patch label CSV.",origin_audit_0009,benigno,without_dysplasia,with_dysplasia,,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_disagreement,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0006,oscc,available,oscc,available,agrees,with_dysplasia,disagrees,sab_only_wsi_0009,sab_only_wsi_0009,41.0,,exact_pixel_match,396,482,512,512,validated_exact_with_metadata_conflict,expert_metadata_review_recommended,"Patch-to-WSI linkage is exact, but label or metadata sources disagree. Current reconstructed metadata label differs from the complete parsed patch label CSV.",origin_audit_0009,benigno,without_dysplasia,with_dysplasia,,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_disagreement,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0007,oscc,available,oscc,available,agrees,with_dysplasia,disagrees,sab_only_wsi_0009,sab_only_wsi_0009,41.0,,exact_pixel_match,372,180,512,512,validated_exact_with_metadata_conflict,expert_metadata_review_recommended,"Patch-to-WSI linkage is exact, but label or metadata sources disagree. Current reconstructed metadata label differs from the complete parsed patch label CSV.",origin_audit_0009,benigno,without_dysplasia,with_dysplasia,,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_disagreement,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0008,oscc,available,oscc,available,agrees,with_dysplasia,disagrees,sab_only_wsi_0009,sab_only_wsi_0009,41.0,,exact_pixel_match,296,367,512,512,validated_exact_with_metadata_conflict,expert_metadata_review_recommended,"Patch-to-WSI linkage is exact, but label or metadata sources disagree. Current reconstructed metadata label differs from the complete parsed patch label CSV.",origin_audit_0009,benigno,without_dysplasia,with_dysplasia,,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_disagreement,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
p0009,oscc,available,oscc,available,agrees,with_dysplasia,disagrees,sab_only_wsi_0009,sab_only_wsi_0009,41.0,,exact_pixel_match,372,177,512,512,validated_exact_with_metadata_conflict,expert_metadata_review_recommended,"Patch-to-WSI linkage is exact, but label or metadata sources disagree. Current reconstructed metadata label differs from the complete parsed patch label CSV.",origin_audit_0009,benigno,without_dysplasia,with_dysplasia,,sabpatch_parsed_folders.csv,sabpatch_parsed_folders.csv,source_disagreement,plausible,recovered_from_sab_exact_or_near_pixel_match,2048,1536
