filename,latex_label,suggested_use,description,source_path
fig_00_dataset_linkage_layers.png,fig:dataset-linkage-layers,"Main text, before the class-count tables, if the 255/251/3763 distinction needs visual support.","Overview diagram separating NDB-UFES origins, P-NDB-UFES patches, SAB recovery records, and validated WSI groups.",generated from repository counts
fig_01_tissue_shift_example.png,fig:tissue-shift-example,Main text candidate for explaining tissue-level dependence beyond patient grouping.,User-provided tissue-shift/registration example showing two views of apparently related tissue and a rectified overlay.,external/user-provided/tissue_shift_example_01.png
fig_03_wsi_40_patch_boxes_public_ndb_wsi_0011.jpg,fig:wsi-40-patch-boxes,Main text candidate for showing that one source image can contribute many patches.,"Context image for public_ndb_wsi_0011, one of the validated WSI groups with 40 patches and visible repeated/overlapping patch boxes.",results/phase0/validated_linkage/docx_render_cache/public_ndb_wsi_0011_context.jpg
fig_04_patch_overlap_pair_p0020_p0021.png,fig:patch-overlap-pair,Main text candidate for overlap explanation.,Compact same-region patch-pair example with highlighted shared region.,docs/assets/contamination/p0020_p0021_test_case.png
fig_05_overlap_bbox_origin0011.png,fig:overlap-bbox-origin0011,Appendix or methods-support candidate if the compact pair figure is not enough.,Bounding-box overlap example for origin 0011 showing spatial shift and shared tissue region.,docs/assets/contamination/origin_0011_overlap_bbox.png
fig_06_similarity_matrix_origin0011.png,fig:similarity-matrix-origin0011,Appendix or methods-support candidate for repeated visual content / feature similarity.,Patch similarity matrix for origin 0011.,docs/assets/contamination/similarity_matrix_0011.png
fig_07_origin_metadata_missingness.png,fig:origin-metadata-missingness,Main text or appendix support for metadata incompleteness.,Origin-level missing / Not informed metadata rates from the factsheet assets.,docs/assets/dataset_statistics/04a_origin_missing_not_informed_rates.png
fig_08_patch_metadata_missingness.png,fig:patch-metadata-missingness,Appendix support unless the discussion focuses strongly on metadata missingness.,Patch-level missing / Not informed metadata rates from the factsheet assets.,docs/assets/dataset_statistics/04b_patch_missing_not_informed_rates.png
fig_09_origin_diagnosis_matching.png,fig:origin-diagnosis-matching,Appendix support for documenting changing/reconstructed linkage layers.,Origin-level diagnosis matching plot from the dataset statistics assets.,docs/assets/dataset_statistics/01a_origin_diagnosis_actual_vs_matched_stacked.png
fig_10_metadata_consistency_summary.png,fig:metadata-consistency-summary,Appendix/supporting material unless metadata instability becomes central in the section.,Rendered summary of field-level metadata consistency from current thesis batches.,results/phase3/current_thesis_batches/metadata_consistency_summary.csv
fig_02_related_shifted_wsi_pairs_0010_0013_0011_0012.png,fig:related-shifted-wsi-pairs,"Main text support for tissue-level dependence: related shifted WSI/source-image pairs, not identical image files.",Contact sheet arranged as related pairs: public_ndb_wsi_0010/public_ndb_wsi_0013 and public_ndb_wsi_0011/public_ndb_wsi_0012.,generated from public_ndb_wsi_0010-0013 context images
